location,symbol,unit,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
"Albany, NY",TAN,°F,16.1,18.1,26.4,37.7,47.7,57.9,62,60.9,52.7,40.8,32.5,22.4,39.6
"Albany, NY",TAX,°F,31,34.1,43.8,57.8,68.7,77.6,81.3,80,72,59.3,47.7,35.9,57.4
"Albany, NY",V,mi/hr,8.5,8.9,9.4,9.2,7.8,6.9,6.7,5.8,6.3,7.2,7.8,8.5,7.8
"Albany, NY",I,Btu/ft2/day,532,789,1096,1496,1739,1853,1872,1640,1300,882,534,422,1180
"Albany, NY",PA,lb/in2,,,,,,,,,,,,,14.55
"Binghamton, NY",TAN,°F,16.6,17.6,25.1,36.3,46.5,56.1,59.9,59.1,51.3,40.9,32,22,38.6
"Binghamton, NY",TAX,°F,29.2,31.7,40.5,54.1,65.2,73.6,77.1,76.2,68.4,56.4,44.8,33.5,54.2
"Binghamton, NY",V,mi/hr,9.8,9.8,9.8,9.6,8.5,7.8,7.4,6.9,7.8,8.5,8.9,9.6,8.7
"Binghamton, NY",I,Btu/ft2/day,500,745,1056,1449,1722,1839,1818,1614,1224,833,498,406,1142
"Binghamton, NY",PA,lb/in2,,,,,,,,,,,,,13.87
"Buffalo, NY",TAN,°F,19.3,19.7,26.5,37.2,47.9,58.4,62.6,61.7,54.2,43.7,34.7,24.9,40.9
"Buffalo, NY",TAX,°F,31.5,32.9,41.3,54.7,66.1,75.3,78.9,78.1,71.1,58.7,47.4,36.1,56
"Buffalo, NY",V,mi/hr,12.1,11.6,10.7,10.5,9.8,8.9,8.9,8.1,8.7,9.6,10.5,11.4,10.1
"Buffalo, NY",I,Btu/ft2/day,447,730,1070,1453,1793,1939,1865,1643,1273,808,478,382,1157
"Buffalo, NY",PA,lb/in2,,,,,,,,,,,,,14.33
"Long Island, NY",TAN,°F,24.7,25.3,31.8,41.1,50.1,60.7,66.5,65.6,58.1,46.1,38,29.4,44.8
"Long Island, NY",TAX,°F,38.9,40.4,47.3,58,67.6,76.6,81.8,80.5,73.8,63.2,53.3,43.9,60.5
"Long Island, NY",V,mi/hr,10.1,10.3,10.5,10.1,8.9,8.3,7.8,7.4,8.1,8.5,9.2,9.8,8.9
"Long Island, NY",I,Btu/ft2/day,591,878,1196,1527,1785,1896,1890,1694,1347,988,643,518,1246
"Long Island, NY",PA,lb/in2,,,,,,,,,,,,,14.65
"Massena, NY",TAN,°F,6.6,8,19.5,33.8,44.8,54.8,59.3,57.2,48.9,38.2,28.6,16,34.6
"Massena, NY",TAX,°F,24.3,27.4,37.9,53.7,66.9,75.7,79.4,78.1,70.1,56.5,44.2,31.3,53.8
"Massena, NY",V,mi/hr,8.7,8.5,8.7,8.9,7.8,6.7,6.5,5.8,6.3,7.6,8.3,8.5,7.6
"Massena, NY",I,Btu/ft2/day,445,741,1072,1452,1753,1876,1865,1646,1236,764,449,348,1137
"Massena, NY",PA,lb/in2,,,,,,,,,,,,,14.58
"New York-LaGuardia, NY",TAN,°F,28.3,29.4,35.9,45.7,55.1,65.4,71,70.5,63.7,52.4,43.3,33.6,49.5
"New York-LaGuardia, NY",TAX,°F,39.6,41.6,49,60.5,70.3,79.8,84.7,83.2,75.9,64.7,54.1,44.1,62.3
"New York-LaGuardia, NY",V,mi/hr,12.8,12.8,12.8,11.6,10.7,10.1,9.6,9.4,10.3,10.7,11.6,12.5,11.2
"New York-LaGuardia, NY",I,Btu/ft2/day,583,863,1154,1499,1760,1878,1859,1636,1314,962,627,511,1220
"New York-LaGuardia, NY",PA,lb/in2,,,,,,,,,,,,,14.69
"New York-Kennedy, NY",TAN,°F,27.1,28.1,34.6,43.9,53,63.1,68.9,68.3,61.5,50.1,41.2,32,47.6
"New York-Kennedy, NY",TAX,°F,39.2,41,48.2,58.5,67.8,77.2,82.4,81.4,75,63.8,53.5,43.6,61
"New York-Kennedy, NY",V,mi/hr,12.5,12.8,12.8,11.9,10.5,10.1,9.8,9.4,9.8,10.7,11.4,12.8,11.2
"New York-Kennedy, NY",I,Btu/ft2/day,588,861,1175,1516,1760,1898,1867,1661,1328,969,630,513,1231
"New York-Kennedy, NY",PA,lb/in2,,,,,,,,,,,,,14.68
"Rochester, NY",TAN,°F,18.7,19.3,26.4,37.2,47,57.1,61.2,60.3,52.7,42.4,33.7,24.4,40
"Rochester, NY",TAX,°F,31.9,33.8,42.1,55.6,67.1,76.4,80,78.8,71.5,59.3,47.7,36.6,56.7
"Rochester, NY",V,mi/hr,10.7,10.5,10.3,10.1,8.9,8.1,7.8,7.2,7.6,8.7,9.4,10.3,9.2
"Rochester, NY",I,Btu/ft2/day,463,719,1059,1432,1759,1886,1849,1621,1242,788,480,385,1140
"Rochester, NY",PA,lb/in2,,,,,,,,,,,,,14.37
"Syracuse, NY",TAN,°F,17,18,25.7,36.9,47,57.2,61.7,60.6,52.7,42.2,33.5,23.4,39.7
"Syracuse, NY",TAX,°F,31.3,33.2,42.1,56.5,68,77.1,80.6,79.7,72,59.4,47.9,36.4,57
"Syracuse, NY",V,mi/hr,9.8,9.6,9.4,9.2,8.1,7.2,7.2,6.5,7.2,7.8,8.7,9.6,8.3
"Syracuse, NY",I,Btu/ft2/day,457,685,1033,1468,1797,1896,1884,1651,1246,801,472,380,1147
"Syracuse, NY",PA,lb/in2,,,,,,,,,,,,,14.47
"Asheville, NC",TAN,°F,28.4,30.3,36.1,44,52.3,60.3,64,63.5,56.7,45.2,36,29.7,45.6
"Asheville, NC",TAX,°F,47.5,50.3,57.7,67.3,74,80,83,82.1,76.2,67.4,57.9,48.8,66
"Asheville, NC",V,mi/hr,8.5,8.3,8.3,7.6,6,4.9,4.7,4.3,4.7,5.6,6.9,7.6,6.5
"Asheville, NC",I,Btu/ft2/day,802,1054,1361,1697,1862,1887,1872,1723,1455,1186,870,717,1374
"Asheville, NC",PA,lb/in2,,,,,,,,,,,,,13.6
"Charlotte, NC",TAN,°F,33.1,35.2,41.9,49.7,58.4,66.7,70.1,69.3,62.7,50.9,41.2,34.3,51.1
"Charlotte, NC",TAX,°F,51.5,55,62.9,71.9,78.7,85.5,88.6,87.4,81.3,71.8,62.1,52.9,70.8
"Charlotte, NC",V,mi/hr,6.5,6.9,7.6,7.4,6.7,5.8,5.6,5.4,6,5.4,5.8,6,6.3
"Charlotte, NC",I,Btu/ft2/day,785,1029,1385,1741,1918,1996,1931,1731,1475,1177,866,707,1395
"Charlotte, NC",PA,lb/in2,,,,,,,,,,,,,14.32
"Raleigh-Durham, NC",TAN,°F,32.1,33.8,40.3,48.6,56.9,66,69.9,68.7,61.9,49.7,40.4,33.5,50.2
"Raleigh-Durham, NC",TAX,°F,51,54.2,62.4,71.6,78.5,85.9,89.1,87.7,81.2,71.7,62.3,52.8,70.7
"Raleigh-Durham, NC",V,mi/hr,6.9,6.9,7.8,7.8,6.9,6,6,5.4,5.8,5.1,5.6,6,6.5
"Raleigh-Durham, NC",I,Btu/ft2/day,771,1029,1359,1725,1911,1969,1931,1744,1435,1155,853,699,1382
"Raleigh-Durham, NC",PA,lb/in2,,,,,,,,,,,,,14.47
"Greensboro, NC",TAN,°F,30.9,32.7,39.7,48.1,56.7,65.6,69.3,68.2,61.1,49.3,39.8,32.5,49.5
"Greensboro, NC",TAX,°F,48.4,51.7,60,69.7,76.5,83.7,86.8,85.6,79,69.6,59.8,50.1,68.4
"Greensboro, NC",V,mi/hr,8.1,8.1,8.7,8.7,7.6,6.7,6.3,5.8,6.3,6.3,6.7,6.9,7.2
"Greensboro, NC",I,Btu/ft2/day,758,1023,1354,1701,1875,1956,1912,1717,1418,1146,851,692,1367
"Greensboro, NC",PA,lb/in2,,,,,,,,,,,,,14.23
"Wilmington, NC",TAN,°F,36.9,38,44.2,52.5,60.7,69.2,73,71.5,66.2,55.1,45.3,38.1,54.2
"Wilmington, NC",TAX,°F,56.3,58.8,65.5,73.7,79.7,85.7,88.7,87.2,82.6,74.8,66.7,58.4,73.2
"Wilmington, NC",V,mi/hr,8.1,8.3,8.9,9.2,8.3,7.4,6.9,6.5,7.2,6.5,6.9,7.4,7.6
"Wilmington, NC",I,Btu/ft2/day,811,1068,1426,1808,1938,1942,1917,1722,1405,1178,910,747,1406
"Wilmington, NC",PA,lb/in2,,,,,,,,,,,,,14.68
"Bismarck, ND",TAN,°F,2.1,8.4,19.3,31.3,43,52.9,57.8,56.1,46.1,33.1,20,8.4,31.5
"Bismarck, ND",TAX,°F,21.6,27.6,39.9,55.9,67.3,76.2,83.4,83,72.3,56.7,39.5,26.8,54.2
"Bismarck, ND",V,mi/hr,8.9,9.2,10.1,10.7,10.7,9.6,8.7,8.9,9.2,9.4,8.9,9.2,9.4
"Bismarck, ND",I,Btu/ft2/day,411,666,1092,1523,1811,1994,2092,1798,1335,859,488,348,1201
"Bismarck, ND",PA,lb/in2,,,,,,,,,,,,,13.85
"Fargo, ND",TAN,°F,0.3,5.7,19.3,33.5,45.3,56,59.6,57.8,48.6,36.1,21.6,7.9,32.6
"Fargo, ND",TAX,°F,16.7,22.7,35.2,54.3,67.6,76.3,80.5,80,70.8,55.2,37.1,22.7,51.6
"Fargo, ND",V,mi/hr,11,11.4,12.1,12.3,12.3,10.3,9.2,9.6,10.5,11.4,11.4,11.2,11
"Fargo, ND",I,Btu/ft2/day,383,606,1023,1562,1804,1914,1984,1716,1261,785,445,313,1149
"Fargo, ND",PA,lb/in2,,,,,,,,,,,,,14.23
"Minot, ND",TAN,°F,3.5,8.8,19.3,32.1,43.3,53.4,58.2,56.2,47,34.4,20.9,8.9,32.2
"Minot, ND",TAX,°F,19.4,24.9,36.4,53.9,65.4,73.7,80.2,80.5,70.1,54.4,36.7,23.9,51.6
"Minot, ND",V,mi/hr,12.1,11.6,11.6,11.4,11.9,10.5,9.6,9.8,10.5,11.6,11.9,12.1,11.2
"Minot, ND",I,Btu/ft2/day,380,628,1069,1537,1781,1928,2042,1735,1249,793,433,299,1156
"Minot, ND",PA,lb/in2,,,,,,,,,,,,,13.81
"Williston, ND",TAN,°F,0.5,7.4,18.4,30.9,40.9,50.6,56.6,54.9,43.8,31.3,18.1,6,29.9
"Williston, ND",TAX,°F,20.3,26.9,39.3,55.5,66,74.9,82.9,82.8,71.5,55.2,37.7,25,53.2
"Williston, ND",V,mi/hr,8.3,8.5,9.2,10.1,10.3,9.4,8.3,8.7,8.7,8.9,8.5,8.5,8.9
"Williston, ND",I,Btu/ft2/day,369,634,1067,1545,1838,2010,2154,1817,1312,813,445,311,1193
"Williston, ND",PA,lb/in2,,,,,,,,,,,,,13.72
"Akron, OH",TAN,°F,20.1,21.7,29,39.7,49.2,58.9,62.5,61.5,53.9,43,34.1,24.7,41.5
"Akron, OH",TAX,°F,33.4,36.1,46,59.6,69,77.8,81.3,80.1,72.8,60.8,48.5,36.9,58.5
"Akron, OH",V,mi/hr,10.7,10.5,10.3,10.1,8.7,7.6,7.4,6.7,7.4,8.5,9.6,10.3,8.9
"Akron, OH",I,Btu/ft2/day,490,720,1075,1421,1683,1840,1859,1645,1327,892,538,432,1160
"Akron, OH",PA,lb/in2,,,,,,,,,,,,,14.07
"Cleveland, OH",TAN,°F,21.6,23.2,29.8,40.4,50,60.1,64.1,63.2,55.8,45.3,36.3,26.4,43
"Cleveland, OH",TAX,°F,34.2,36.7,45.2,58.3,68.5,77.9,81.3,80,73.3,61.7,49.7,37.9,58.7
"Cleveland, OH",V,mi/hr,11.2,10.5,10.5,10.3,9.2,8.3,8.1,7.6,8.3,9.4,10.5,11,9.6
"Cleveland, OH",I,Btu/ft2/day,462,689,1067,1430,1756,1944,1923,1672,1335,851,511,380,1168
"Cleveland, OH",PA,lb/in2,,,,,,,,,,,,,14.29
"Columbus_OH, OH",TAN,°F,23,25,32.7,43.1,52.4,62.3,65.7,64.6,56.8,45.2,36.2,27.2,44.5
"Columbus_OH, OH",TAX,°F,36.5,39.9,50.3,63.4,72.5,81.1,84.1,83.3,76.7,64.7,51.9,40.1,62
"Columbus_OH, OH",V,mi/hr,9.2,8.9,8.9,8.9,7.6,6.7,6.3,5.8,6,6.9,8.1,8.7,7.6
"Columbus_OH, OH",I,Btu/ft2/day,527,743,1080,1472,1716,1889,1866,1692,1388,971,601,456,1200
"Columbus_OH, OH",PA,lb/in2,,,,,,,,,,,,,14.27
"Dayton, OH",TAN,°F,21.1,23.6,31.6,42.3,52.2,61.9,64.9,63.6,55.4,44.7,34.9,25.4,43.5
"Dayton, OH",TAX,°F,34.9,38.7,49.1,62.1,71.3,80,83.2,82.4,75.9,63.9,50.7,38.4,60.9
"Dayton, OH",V,mi/hr,11.4,11,11,11,9.4,8.3,7.8,7.2,7.8,9.2,10.3,10.7,9.6
"Dayton, OH",I,Btu/ft2/day,517,759,1122,1479,1747,1925,1936,1738,1409,993,607,456,1224
"Dayton, OH",PA,lb/in2,,,,,,,,,,,,,14.17
"Mansfield, OH",TAN,°F,19.4,21.3,28.8,39.3,48.9,58.6,61.9,61,53.2,42.9,33.6,24.4,41.1
"Mansfield, OH",TAX,°F,32.8,35.6,45.4,59.1,68.9,77.7,80.8,79.5,72.9,61.3,48.1,37.1,58.3
"Mansfield, OH",V,mi/hr,11.2,10.7,10.5,10.7,9.2,7.8,7.4,6.7,7.4,8.9,10.3,10.7,9.4
"Mansfield, OH",I,Btu/ft2/day,492,700,1071,1438,1709,1882,1904,1643,1329,918,553,423,1172
"Mansfield, OH",PA,lb/in2,,,,,,,,,,,,,14.03
"Toledo, OH",TAN,°F,19.4,21.5,28.9,39.7,49.4,59.5,62.8,61.8,53.5,42.9,33.7,24.1,41.5
"Toledo, OH",TAX,°F,32.4,35.7,46.2,59.8,70.3,80.1,83.5,81.6,75.1,62.5,48.9,36.3,59.4
"Toledo, OH",V,mi/hr,10.5,9.8,9.8,10.3,8.7,7.2,6.9,6.3,6.7,8.3,9.4,9.6,8.7
"Toledo, OH",I,Btu/ft2/day,485,754,1125,1446,1747,1939,1938,1656,1360,912,537,408,1192
"Toledo, OH",PA,lb/in2,,,,,,,,,,,,,14.34
"Youngstown, OH",TAN,°F,20.1,21.3,28.2,38.8,47.3,56.6,60.2,59.2,52.1,42,34.3,24.7,40.4
"Youngstown, OH",TAX,°F,33.3,36,45.5,59.3,68.9,77.5,80.9,79.8,72.4,60.6,48.7,36.9,58.3
"Youngstown, OH",V,mi/hr,10.1,9.6,9.6,9.6,8.3,7.2,6.9,6.5,7.2,8.1,9.2,9.6,8.5
"Youngstown, OH",I,Btu/ft2/day,476,714,1070,1410,1680,1842,1839,1631,1295,859,520,423,1147
"Youngstown, OH",PA,lb/in2,,,,,,,,,,,,,14.08
"Youngstown, OH",TAN,°F,28.7,32.8,40.5,49.1,59.3,67.4,71.5,70.6,62.5,51,39.5,30.9,50.3
"Oklahoma City, OK",TAX,°F,48.7,54.1,62.1,70.8,78.9,86.9,92.8,92.1,83.2,72.6,60.3,50.4,71.1
"Oklahoma City, OK",V,mi/hr,11.4,11.9,13.4,13.4,11.4,10.7,9.8,9.2,9.6,11,11.6,11.4,11.2
"Oklahoma City, OK",I,Btu/ft2/day,831,1090,1389,1757,1898,2111,2215,1982,1600,1235,889,751,1479
"Oklahoma City, OK",PA,lb/in2,,,,,,,,,,,,,14.01
"Tulsa, OK",TAN,°F,28.9,32.9,40.9,50.1,60.2,68.6,73.4,72.2,62.6,51.3,40.4,31.3,51.1
"Tulsa, OK",TAX,°F,47.4,53.4,61.7,71,78.7,86.5,92.3,92.4,83.2,72.6,60.2,49.6,70.8
"Tulsa, OK",V,mi/hr,9.2,9.4,10.7,11.2,9.6,9.2,8.7,7.6,7.8,8.7,9.4,9.2,9.2
"Tulsa, OK",I,Btu/ft2/day,748,1023,1320,1671,1822,2027,2152,1938,1523,1166,816,682,1407
"Tulsa, OK",PA,lb/in2,,,,,,,,,,,,,14.36
"Astoria, OR",TAN,°F,38.7,38.1,39.5,41.9,46.5,50.7,54.1,54.1,50.4,45.3,41,38.6,44.9
"Astoria, OR",TAX,°F,49.1,51.3,52.7,55.3,59.8,63.2,66.8,67.7,66.8,60,53.2,48.6,57.9
"Astoria, OR",V,mi/hr,8.5,7.8,7.8,7.8,7.6,7.8,8.1,7.2,6.7,6.7,7.8,8.7,7.6
"Astoria, OR",I,Btu/ft2/day,343,600,877,1252,1537,1627,1708,1492,1196,728,391,302,1005
"Astoria, OR",PA,lb/in2,,,,,,,,,,,,,14.69
"Burns, OR",TAN,°F,17.3,19.4,25.6,29.5,37.3,42.5,48.4,45.6,37.3,28.3,22.3,16,30.8
"Burns, OR",TAX,°F,35.1,39.3,49,55.6,65.8,74,86,84.4,76,61.2,45,34.7,58.8
"Burns, OR",V,mi/hr,5.1,5.6,6.9,7.8,7.6,7.2,6.7,6.5,6,5.8,5.4,5.1,6.3
"Burns, OR",I,Btu/ft2/day,475,707,1195,1606,2000,2285,2459,2155,1691,1098,573,384,1386
"Burns, OR",PA,lb/in2,,,,,,,,,,,,,12.63
"Eugene, OR",TAN,°F,35.6,36,38,40.5,44.7,48.3,52.7,52.2,48.4,42.4,38.6,35.5,42.7
"Eugene, OR",TAX,°F,47.1,50.9,55.4,59.6,66.2,72.1,82.5,82,76.7,63.4,51.8,45.9,62.8
"Eugene, OR",V,mi/hr,6.9,6.9,7.2,6.9,6.5,6.9,7.4,7.2,6.7,6.5,6.7,7.2,6.9
"Eugene, OR",I,Btu/ft2/day,396,673,998,1386,1739,1961,2238,1960,1491,839,449,322,1204
"Eugene, OR",PA,lb/in2,,,,,,,,,,,,,14.5
"Medford, OR",TAN,°F,33,34.5,37.2,40.6,47,52.1,58.7,57.5,50.8,42.2,36.4,33.1,43.6
"Medford, OR",TAX,°F,47.6,54.3,58.8,63.4,72.6,80,90.7,89.6,83.9,69.2,52.9,45.8,67.4
"Medford, OR",V,mi/hr,3.4,4,4.5,4.7,5.1,5.4,5.1,4.7,3.6,3.1,2.9,3.4,4
"Medford, OR",I,Btu/ft2/day,502,774,1143,1490,1917,2257,2415,2117,1649,1051,541,430,1357
"Medford, OR",PA,lb/in2,,,,,,,,,,,,,13.69
"Pendleton, OR",TAN,°F,29.5,31.4,35.4,39.6,46.4,52,58.4,57.5,50.6,40.8,34,29.1,42.1
"Pendleton, OR",TAX,°F,41.1,46.2,54.3,60.8,69.4,77.1,87.9,86.2,77.4,62.6,48.3,40.1,62.6
"Pendleton, OR",V,mi/hr,7.2,7.2,8.9,9.4,9.2,9.2,8.7,8.5,8.1,7.6,7.4,7.2,8.3
"Pendleton, OR",I,Btu/ft2/day,376,678,1117,1628,1970,2228,2372,2058,1541,960,460,309,1308
"Pendleton, OR",PA,lb/in2,,,,,,,,,,,,,13.92
"Salem, OR",TAN,°F,36,35.9,38.3,40.9,46.1,50.3,54.9,54.3,50.2,43.7,39.4,35.7,43.8
"Salem, OR",TAX,°F,47.4,51.6,55.6,59.9,67.1,72.6,81.8,81.3,76.3,63.4,52.2,46.6,63
"Salem, OR",V,mi/hr,7.2,6.7,7.2,6.7,6.3,6.5,6.3,5.8,5.4,5.6,6.9,7.4,6.5
"Salem, OR",I,Btu/ft2/day,370,638,951,1355,1703,1859,2099,1846,1392,807,416,307,1145
"Salem, OR",PA,lb/in2,,,,,,,,,,,,,14.59
"Allentown, PA",TAN,°F,22,23.1,30.5,40.3,49.7,59.7,63.9,62.5,54.6,42.8,34.5,25.9,42.5
"Allentown, PA",TAX,°F,36.7,39.5,49,61.4,71.1,79.8,83.8,82.5,75,63.3,52.1,40.8,61.3
"Allentown, PA",V,mi/hr,8.3,8.7,8.9,8.7,7.4,6.7,6.3,5.6,6.3,6.5,6.9,7.8,7.4
"Allentown, PA",I,Btu/ft2/day,568,845,1165,1495,1739,1841,1869,1636,1309,950,614,495,1210
"Allentown, PA",PA,lb/in2,,,,,,,,,,,,,14.49
"Bradford, PA",TAN,°F,15.5,15.9,22.9,33.2,41.6,50.7,54.1,53.5,46.4,36.9,30,20,35.1
"Bradford, PA",TAX,°F,29.2,31.7,40.9,54.6,64.9,73,75.8,74.9,67.6,56.1,44.3,32.9,53.8
"Bradford, PA",V,mi/hr,8.9,8.7,8.5,8.3,6.9,5.8,5.4,5.1,5.8,6.7,7.6,8.3,7.2
"Bradford, PA",I,Btu/ft2/day,483,742,1056,1439,1651,1781,1759,1563,1218,820,508,412,1119
"Bradford, PA",PA,lb/in2,,,,,,,,,,,,,13.62
"Erie, PA",TAN,°F,22,22,28.3,39,49.1,59.7,64.2,63.4,56.5,46.1,37.3,27.5,42.9
"Erie, PA",TAX,°F,33.7,35,42.6,55.4,65.8,75.4,78.9,78,71.3,60.2,49,38,56.9
"Erie, PA",V,mi/hr,11.9,10.7,10.5,10.1,9.2,8.3,8.1,7.8,8.9,9.8,11.2,11.6,9.8
"Erie, PA",I,Btu/ft2/day,367,647,994,1425,1756,1946,1921,1661,1281,825,474,327,1135
"Erie, PA",PA,lb/in2,,,,,,,,,,,,,14.32
"Middletown, PA",TAN,°F,24.1,25.3,33.2,43.2,53.1,63.2,67.5,66.1,58,45.5,37.1,28.4,45.4
"Middletown, PA",TAX,°F,37.9,40.9,50.4,62.9,72.5,81.4,85.4,83.8,76,64.4,53.3,42.2,62.6
"Middletown, PA",V,mi/hr,8.9,9.2,9.8,9.2,7.6,6.7,6.3,5.8,6.3,6.5,7.8,8.5,7.6
"Middletown, PA",I,Btu/ft2/day,580,840,1164,1497,1754,1889,1852,1639,1304,967,630,512,1219
"Middletown, PA",PA,lb/in2,,,,,,,,,,,,,14.53
"Philadelphia, PA",TAN,°F,27.4,28.3,35.5,45.4,54.8,64.9,70.2,69,61.6,49.6,40.5,31.5,48.2
"Philadelphia, PA",TAX,°F,40.7,43.2,52.1,63.9,73.3,82.3,86.5,85,77.7,66.1,55.3,44.5,64.2
"Philadelphia, PA",V,mi/hr,10.3,10.5,11,10.3,8.9,8.7,8.5,8.1,8.5,8.7,9.2,10.1,9.4
"Philadelphia, PA",I,Btu/ft2/day,611,911,1190,1537,1778,1917,1891,1698,1357,1015,678,549,1261
"Philadelphia, PA",PA,lb/in2,,,,,,,,,,,,,14.69
"Pittsburgh, PA",TAN,°F,22.2,23.5,30.8,41.3,50.2,59.6,63.5,62.5,54.8,43.4,35.3,26.2,42.8
"Pittsburgh, PA",TAX,°F,36.2,38.9,48.7,62,70.6,78.9,81.9,81.2,73.9,62.4,50.7,39.5,60.4
"Pittsburgh, PA",V,mi/hr,9.4,9.2,9.4,9.2,7.6,6.9,6.5,6,6.3,6.9,8.1,8.7,7.8
"Pittsburgh, PA",I,Btu/ft2/day,520,760,1080,1440,1691,1846,1823,1636,1306,919,566,459,1170
"Pittsburgh, PA",PA,lb/in2,,,,,,,,,,,,,14.1
"Scranton, PA",TAN,°F,20.3,21.5,28.7,39.2,48.6,57.8,61.7,60.7,53.2,42.2,34.5,25,41.1
"Scranton, PA",TAX,°F,33.8,36.5,45.8,59.1,69.5,77.6,81.6,80.2,72.4,60.4,49.2,37.7,58.6
"Scranton, PA",V,mi/hr,7.6,8.1,8.1,7.8,6.9,6,6,5.6,6,6.3,6.9,7.4,6.9
"Scranton, PA",I,Btu/ft2/day,538,789,1115,1455,1710,1843,1852,1616,1261,888,548,455,1173
"Scranton, PA",PA,lb/in2,,,,,,,,,,,,,14.21
"Williamsport, PA",TAN,°F,20.8,21.8,29.5,39.5,48.5,58.6,62.3,61.3,53.7,42,34,25,41.4
"Williamsport, PA",TAX,°F,34.9,37.9,47.9,61.3,71.4,79.8,83.5,82,73.8,62.1,50.2,38.6,60.3
"Williamsport, PA",V,mi/hr,7.6,7.8,7.8,7.6,6.5,5.6,5.4,4.7,5.1,5.6,6.5,7.2,6.5
"Williamsport, PA",I,Btu/ft2/day,550,803,1122,1457,1714,1846,1830,1603,1233,884,545,449,1170
"Williamsport, PA",PA,lb/in2,,,,,,,,,,,,,14.42
"Providence, RI",TAN,°F,22.5,24,30.7,40.2,49.2,59.3,64.9,64,56.6,44.9,36.8,27.6,43.4
"Providence, RI",TAX,°F,37.4,39.5,47,58.1,67.7,76.9,82.2,80.9,73.5,62.5,52.4,42.2,60
"Providence, RI",V,mi/hr,9.6,10.1,10.5,10.3,9.4,8.7,8.5,8.1,8.1,8.5,8.7,9.4,9.2
"Providence, RI",I,Btu/ft2/day,579,859,1150,1477,1738,1847,1840,1640,1301,937,604,501,1206
"Providence, RI",PA,lb/in2,,,,,,,,,,,,,14.66
"Charleston, SC",TAN,°F,39.6,41.6,47.8,54.8,63.2,70.7,74,73.3,68.3,57.7,48,41.1,56.7
"Charleston, SC",TAX,°F,59.2,62.1,68.9,75.8,82.3,87.3,90.2,88.7,84.1,76.5,68.6,60.9,75.4
"Charleston, SC",V,mi/hr,8.3,8.5,9.2,9.2,8.3,7.6,7.2,6.7,7.4,7.2,7.2,7.6,7.8
"Charleston, SC",I,Btu/ft2/day,852,1111,1471,1856,1992,1943,1951,1723,1438,1210,972,797,1443
"Charleston, SC",PA,lb/in2,,,,,,,,,,,,,14.68
"Columbia, SC",TAN,°F,35.3,37.4,43.9,51.7,60.7,68.8,72.2,71.5,65.2,52.7,42.4,35.7,53.1
"Columbia, SC",TAX,°F,56.2,59.6,67.4,75.7,82.9,88.6,91.6,90,84.5,75.3,66.1,57.4,74.6
"Columbia, SC",V,mi/hr,6.7,6.7,7.4,7.4,6.7,6,5.6,5.1,5.6,5.1,5.1,5.8,6
"Columbia, SC",I,Btu/ft2/day,824,1073,1415,1781,1944,1975,1949,1756,1497,1206,923,761,1425
"Columbia, SC",PA,lb/in2,,,,,,,,,,,,,14.58
"Greer, SC",TAN,°F,33.5,35.5,41.9,49.5,58.1,66.1,69.8,69.2,62.5,51.1,41.6,34.7,51.1
"Greer, SC",TAX,°F,51.7,55.2,62.9,71.7,78.6,85.4,88.8,87.3,81.1,71.4,61.9,52.8,70.7
"Greer, SC",V,mi/hr,7.4,7.6,8.3,7.8,6.9,6,5.8,5.4,5.8,5.8,6.3,6.7,6.7
"Greer, SC",I,Btu/ft2/day,812,1057,1401,1767,1936,1988,1945,1780,1493,1196,888,741,1417
"Greer, SC",PA,lb/in2,,,,,,,,,,,,,14.2
"Aberdeen, SD",TAN,°F,2.2,8.2,20.4,32.9,45.2,55.7,60.1,57.3,47.2,34.4,20.4,8.5,32.7
"Aberdeen, SD",TAX,°F,21.1,27.6,39.7,56.2,68.3,77.2,82.2,81,72.4,57.6,40.1,26.5,54.1
"Aberdeen, SD",V,mi/hr,10.1,10.5,11.2,12.1,12.1,10.3,8.7,8.7,10.1,10.3,10.3,10.3,10.5
"Aberdeen, SD",I,Btu/ft2/day,435,703,1115,1559,1815,1996,2073,1799,1358,880,520,372,1219
"Aberdeen, SD",PA,lb/in2,,,,,,,,,,,,,14.01
"Huron, SD",TAN,°F,6.7,12,22.6,34.6,46.5,57,61.9,59.9,49.7,36.3,23.1,11.9,35.2
"Huron, SD",TAX,°F,25,31.3,42.9,57.8,69.2,78.4,84.6,83.1,74.4,59.9,42.6,29.3,56.5
"Huron, SD",V,mi/hr,10.5,10.7,11.4,11.9,11.4,9.8,9.2,9.2,10.1,10.3,10.5,10.5,10.5
"Huron, SD",I,Btu/ft2/day,483,770,1131,1556,1845,2014,2094,1817,1404,919,562,403,1250
"Huron, SD",PA,lb/in2,,,,,,,,,,,,,14.03
"Pierre, SD",TAN,°F,10,14.7,23.7,34.8,45.9,56,62.1,60.4,50.5,37.2,24.6,14.6,36.2
"Pierre, SD",TAX,°F,28.7,34.7,45.4,58.9,69.5,79.2,87.7,86.7,77.2,60.6,44.6,32.6,58.8
"Pierre, SD",V,mi/hr,10.7,10.7,11.9,12.1,11.9,10.5,10.3,10.3,10.7,11,10.5,11,11
"Pierre, SD",I,Btu/ft2/day,506,772,1135,1521,1857,2054,2099,1853,1428,927,553,421,1261
